maze;date;highscore;size;nickname;essais
['000000000000000000000', '211111111111011111110', '010000000001010100010', '011111011101010101010', '000001010101010101010', '011101010101010101010', '010001000101010101010', '011111010111010101113', '010000010000010100000', '011111011111010111110', '000001010100010000010', '011111010101110111010', '010000000101000100010', '010111110101011111010', '010001010101000001010', '011111010111011111010', '000000010100010000010', '011101110111110111110', '010101000000000100010', '010111111111111101110', '000000000000000000000'];Sat Jan  6 17:17:18 2018;19s;(10.0, 10.0);;2
['0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000', '0111011111010111111101110111111101111101111101110111011111111101111101111111011111110111111101111111111101111101111111110', '0101000101010101000101010100010001000101010101010101010001000100010100010001010001010100000101000000010100010101010000010', '0101111101011101011111010101011101011101010111011101010111010111010111110101010111010111110101011101110111010111011101110', '0100000001000001000000010101000101010000010000000001000100010001010000000101010100000000010101000101000001010000000101000', '0111011101111101110111010111011101011111110111111101111101011111010111110111010111111111010101011101110111011101111101110', '0101010100000100010001010001010101000000000101000100000001010000010001010100010000000001010101010000010100000101000000010', '0101110111110111011101110111010101111101110101110101011111011111011101011101010111110101010111011111010101111101011101110', '0100000100010001000101000000010000000101010000010101010001000001010100010001010100010101010000000100010100000101010001000', '0101110111011101111101110111110111111101010111110111011101110101010111011101010101110101111101111101110101110101010111010', '0101010001000100000000010100000100000001010101000000000101010101010001000101010100010100000101000101000101010001010100010', '0101011101110101111111010101110101111111011101011111110101011101011101110111010111011101110111011101110111011111011101110', '0101000100010101000001010101010101010000000000010000010101000101000000010000010001000001010000000000010000000000010001010', '0101110111010111111101010101010101011111111101110101110101110101111111010111011111011111011111011111110111111101110111010', '0100010001000000000001010101010100000000010101000101010100010100000001010101000100010000000001010000000000010001000100000', '2111010101011111111101011101011101111111010101111101010101010111111101010101111101110111111101011101111111110111011101110', '0000010101010000000101000101000001000001000100000101000101010000000101010100000001000100000101010100000100010100000101010', '0111110101110111110101110101011111011101011111010101110101011111110101011101110111010101110111010111110111010111110111010', '0100000100000100000101010101010000000101010001010100010101000000010101000001010100010100010000010000010101000000010100010', '0111110111111111111101010101010111110111011101110101010101110111010101110111011101110111011111110111010101111111010101110', '0100010100000100000100010001010100010100010101000101010101000101010000010100000001010001010000010100010000000001010001010', '0101110101110101110111110111011101110111010101011101011101111101011101110111111101011101010111010111010111011111011101010', '0101000101000001010000000100000001000001000100010001000000010001000101000100000101010001000101010001010101010000000101010', '0101110101111111011111111101111111011101111101110101111111010111110101110111110101011101111101011111011101011111111111010', '0000010100000000000000000001000000010100000101000101000101000100010100010000000101000100000001000001000001010000000000010', '0111110101110111110111110111011111010101111101011101011101011101010111011111111101011101111101010111011101010111111111010', '0100000101010001010001010100010001010101000001010001010001010001010001000000000000010100010001010100000101000100000001010', '0111011101011101010111010101010101110111011101011111010111010111111101111101111111110111110111011111111101111111110111010', '0101000101000101010100010101010100000001000101010000010001010000000001000101000000000001000100000000000100000000000100010', '0101110111010111011101011101111111011101111101011111011101110111011111011111011111110111011101110111110111111101111101010', '0100010000010000000001010000000000010100000001000000010100000101010001000000010000010000010001010100010000000101000001010', '0101011101111111111111110111111111110101111111011111010111110101110111011111110111011111110111010111011111111101011111010', '0101000100000100000000000100000000000101000000010001000000010100000100010000000101000000000001010001000000000001010001010', '0101110111110111011111111101111101111101111101110101111101110111011111011101111101111111111111011101011111110111010111010', '0101010000010000010000000000010101000100000101010100000101010001000000000100010100010000000000000101010000010100000101010', '0111011101110111110111111101110101011101011101010111110111010111011111110111010101110111110111011101010111111101111101010', '0000000001010100000100000101000001010001010000010100010001000101010000010001010100000100010001010001010000000001010000010', '0111111111010101111111011101110111010111010111110111011111011101010111010111010111111101011101110111011111011101010111110', '0100000000010100010001010000010100010101010101000000000000010000010101010100000000010001000101000000000001010101010100000', '0101111111010111011101011101110101111101011101011111111111011101110101110101111111011111011101111111110111010101011101110', '0101000001000001000001000101010100000000010000010000000001000101000100000101000001000001010000000000010100010101000001010', '0111011101111111011101110101010111111111110111010111011101110101110111111101011111011101010111111101110111110101111111010', '0100010100000000010100010101010000000000000101010101010100010100010000000001000100010100010000000101000100000100000000010', '0101110101111111110101110101011101110111110101110101110111011111011111011101110111110101110111110111011101111101111101110', '0101000101000000000101000101000101010100010100000001000100010000000001010001010000000101000100010001000101000000000101000', '0101110111010111110111010111010111010111011101111101110111010111110111011101011101110111011101011101110101111101110101110', '0100010000010100010000010000010000010001010001000100010001010100010100010101000101010100010001000100010100000101010100010', '0101110111011101110111011101110111010111010111010101010111010111011101010111010111010101110111110101010101110101010111010', '0101000101010001000101010101010101010100000100010101010100010001000001010000010000010101000101000101010001010101010101010', '0111011101111101111101010111010101110111111101110101110111110101110111111111111101110101111101011101111111010111010101010', '0000000000000001000001010000010100000000000000010100000100000100010000010000000001010001000001010000000000010000010101010', '0111011101111101111101010111010111011111111111110111110111111101011111010111011101010111011101010111011101011101110101110', '0101010101000100000001010101010001000000010000010000010000000101000001000101010101000100010100010101010101000101000100000', '0101110101011111111111010101111101111111110111111111011101111101111101110101010101111101110111011101110101110111011101110', '0100000101000000000000010100000100000000000100000000000101000000010100010101010100000001000001010000000101000000010001010', '0111011101110111011111110111110111111101110101111111111101111101110101011101010111111101011111011111110101111101010111010', '0101010000010101010000000000010001000001010101000000000000000101000101000001010000000101000100000100000100010101010000010', '0101011111110101010111111111010111011101011101011101111111110111011111011111011111110101110111011101111101110111010111013', '0101000000000101010100000001010000010101000001010101000000010000000000010000000000010100010001000001000001000000010101010', '0101111111111101111101111111011111110111111101110111111111011111111111111111111111110111110111111111011111111111111101110', '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000'];Sat Jan  6 17:25:19 2018;49s;(10.0, 10.0);;1
['0000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000', '0111111111011101010111010111010101011101011101110101010101111111111101010111111111111111111111011101010101111111110101010', '0000000001010001010001010100010101000101010001000101010100010000000001010100000000000001010000010001010101000000000101010', '0111010111110101010111011111011111010111111101011101010111110101010111010101010101110101010111010101111111111101011101110', '0001010000010101010001010001010001010001000101010001010100000101010001010101010101000100000001010100010001000101000100010', '0111110101011101011101010111110111110111011101010111111101010101011101111111010111111101011111011101111101011101011111110', '0001000101010101000101000000000001000100000001010001010001010101010000010100010001000001000100010001000100000001000001000', '0111010101110101111111111101110101111111110111111101011111011101110111010101111111010101011111011101110101111101010111010', '0100010101010001000001000001010100010001010000000100000100000101000001000100010101010101010000010001000001000001010001010', '0101110101010101010101110111011111110111010101110111011111011101111111110111010101011111110111011111011111110101110111110', '0100010100010100010101010000010000010100000101000001010100000101000001000100010000010000010101010101000100000100010100000', '0111011111011111011101010101110111110101010101110111010111010101110111011111111101111111010101010101110101111101111111110', '0001000001000100010000010100000000010001010101000100000100010101000001010001000001000000000001010000000101000001000001010', '0101111101110101111111010111111111010111010101011101110111111101010101010101111111111111110101010111011111111111110101010', '0101010000010100010001010001010100010100010101000100010000010001010100010100010101000100010101010001010000000101010100000', '0101011101111111110101111101010101011101110111010111110101111111111111111111010101010101111111111101111111011101011111110', '0101000000010100010100000100000101010000010001010100000101000001000000010000000000010001010100010001010001000101010001010', '0111110111010101111101110111110111111101111101111111011101110101111101010111011111111101010111011111010111010101011101010', '0100000001000100000000010001000000010000010001000100010101000100000001000100010101010000000100000000000000010001010000000', '0101110111111101110101011111111101010101111101011101010101111111111111010111110101011101110111111111011101011101011111110', '0101000100000000010101000000010101010100010000000101000101000001010000010100010000000001000101000000000101010001010101000', '0111011101110111010111110101010101110101010111010101011111111101010111111111010111011111110101111101111111111101010101010', '0001000000010100010100000101000100010101010001010101010100000000000001000001000101010001010000000001000101010001000000010', '0111111101111111010111110111111111110101110111010101010111111111110111110111111101011101010101010111110101011101111101110', '0001000100000100010001000000000100010100010001010101010000000100000001000000000100010001000101010101010000010000000001010', '0111010101010111110101010101011101111111110101111111111111011111010111111111011111110101011101111101011111011101011111010', '0100010101010000010101010101000000010100010100010100010000000000010001000000000100000100000101000000000100010001000100000', '0101111111111111111111111111110101110101011101110111010101011101010111111101010101111111011111110101010101010111011111010', '0000010000010001000100010101000100000001000100000100010101010001010100000001010001000101010100010101010001000100010000010', '0111110101011101011101010101111111011111010111111111010101110111110101111101111111010101110101111101111101010101111101010', '0000000101010001000101000000000100000100010000000100000101000100000101000001010000010001000101010001000101010100010001010', '0111111101010101010101111111110101011111111101011101011111011111011111111111010111011101110101011111110111110111111101010', '0000000101000100010000000001010101000000010001000101010000010000010001000101000100010000000000000100010101000101000001010', '0101110111011111111101010111011111011101110111111111110101010101010111011101111111110111011101111111010101011101010111110', '0101000101010000010001010000000101010001010000010101010101010101010000000001000100010001010000000100000000000100010001010', '0111011101011101111111111111011101010101010111110101011101111111111111110101010111011111111111010111111111011111110111010', '0100010001000000000001010001010001010100010001000101010101000000010101010100010000000100000101010001000000000101000100000', '0101011101110111110111010101110111111111111111110101010111111111010101011111111111011111110101111101011101010101010111110', '0101000001010000010001010100010000010001000001000101000001000100000001010001010000000000000000010000010101010100010100000', '0111010111011101010111011101110111110111011111011101110111011101111101011101011111111111111101011101010111111111111111110', '0101010000010101010000000000010100010001000000000100000001000101000001010100010100010001000101010001000001000000010100000', '0101010101110111111111111111110101110101110111111111011101011111111101010111010101011101010101111101011101111101110111110', '0101010100010001000100010001000000010101000000010101010001010101000000000000010101010100010001010001010001000001000001010', '0101111111111101110101110111111101111101111111010101111101010101111101010101110111010111111101010111010111010101011101010', '0001010000010000000001000100010001010001000001000100010001000000010001010100000100010000000100000001010100010100010000000', '0111010101110111011111110101111101010111111101011101011101010101110111111111110111010101110101110111111101111111010111110', '0001000100000100010000010000000000000000010101010001010000010101010100010001000000000101000001000000010000010100010001000', '0101110111111111011101010111011101110111110101010111111111110111011101111101011101111101010111010111011111110111110111110', '0101000101000001010001010001000101000100010100000001010100010001000100000000010000010001010001010001010000000001000100000', '0101011101110111110101010101111111111101110111011101010111011101110111111101111111011101110101010111111111110111111111110', '0100000101000001010101000101000100010100010000000100010000000001010101000000010000010001000101010100000100010101010100010', '0111111101011111011101111111010101110101111101111111111111110101010101111101111101011111111111111111110101110101010101110', '0101000000000001000001000100010000000001000000000001000001010100000100010000010001010000010101000000000000000001000000000', '0101011101111111110111011101111111111111110101011111110111011101111111011111111111110101110101110111111111011101011101010', '0101010000010001010001010000000101010001010101000001000101000000010100000001000000010100000001000100000000010000010001010', '0101110111010111010101011101110101010111010111111111011101111101110111011101110101010111110101110111111101111111111111110', '0100010001000100010100010000010101010101010001010101000000010100010101010001000101010100010100000100000101010101010000010', '0111010111111101111101111101111101010101011101010101111111010101010101110101111101111111010101110101110111010101011101010', '0101000101010000000000010100000100010000010000000001000100010001000000010101000000010101000100010101010001010100010101000', '0101110101010111111111110101111111010111111111111101011111011111111111011101111111010101111111111111010111010111010111110', '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000'];Sat Jan  6 17:27:39 2018;63s;(10.0, 10.0);;1
['000000000000000000030', '011111111111011111110', '010000000101010000010', '011101011101110101110', '000101010000000101000', '011101011101111101110', '010005000101010000010', '010111110101011101110', '010106000100010101000', '017181110111010111010', '000100010001000001010', '011101110101111101110', '010001000100000100010', '011101111101110111010', '000101000001010001000', '011101011101011101110', '010001010101000100010', '011101010101110111110', '000100010100010000010', '011111110111110111110', '000000000002000000000'];Sun Jan  7 11:00:55 2018;13s;(10.0, 10.0);;2
